"link_id";"col1";"col2";"origin_dest";"col3";"col4"
"103001243";"146";"10";"1473414735";"3.6";"290 "
"103008342";"144";"10";"1473414735";"3.6";"290 "
"103112271";"172";"12";"1473814739";"3.6";"172 "
"103112270";"172";"12";"1473914738";"3.6";"440 "
"103022280";"145";"10";"1473914738";"3.6";"440 "
"103021196";"87";"6";"1473914738";"3.6";"440 "
"103021204";"36";"2";"1473914738";"3.6";"440 "
"108002358";"45";"3";"1474014741";"3.6";"1880 "
"103058778";"145";"10";"1474014741";"3.6";"1880 "
"103058782";"105";"7";"1474014741";"3.6";"1880 "
"103107835";"159";"11";"1474014741";"3.6";"1880 "
"103107831";"158";"11";"1474014741";"3.6";"1880 "
"103107830";"158";"11";"1474014741";"3.6";"1880 "
"103107834";"159";"11";"1474014741";"3.6";"1880 "
"103107830";"158";"11";"1474014741";"3.6";"1880 "
"103107834";"159";"11";"1474014741";"3.6";"1880 "
"103107830";"158";"11";"1474014741";"3.6";"1880 "
"103107834";"159";"11";"1474014741";"3.6";"1880 "
"103107830";"158";"11";"1474014741";"3.6";"1880 "
"103107834";"159";"11";"1474014741";"3.6";"1880 "
"103107835";"159";"11";"1474114740";"3.6";"2130 "
"103107831";"158";"11";"1474114740";"3.6";"2130 "
"103107835";"159";"11";"1474114740";"3.6";"2130 "
"103107831";"158";"11";"1474114740";"3.6";"2130 "
"103107835";"159";"11";"1474114740";"3.6";"2130 "
"103107831";"158";"11";"1474114740";"3.6";"2130 "
"103107835";"159";"11";"1474114740";"3.6";"2130 "
"103107831";"158";"11";"1474114740";"3.6";"2130 "
"103107835";"159";"11";"1474114740";"3.6";"2130 "
"103107831";"158";"11";"1474114740";"3.6";"2130 "
"103058783";"105";"7";"1474114740";"3.6";"2130 "
"103058779";"145";"10";"1474114740";"3.6";"2130 "
"108002359";"45";"3";"1474114740";"3.6";"2130 "
"103058783";"105";"7";"1474114740";"3.6";"2130 "
"103058779";"145";"10";"1474114740";"3.6";"2130 "
"103036158";"178";"16";"1474214743";"3.6";"178 "
"103036159";"178";"16";"1474314742";"3.6";"178 "
"103059426";"165";"11";"1474414745";"3.6";"266 "
"103059423";"101";"7";"1474414745";"3.6";"266 "
"103059422";"101";"7";"1474514744";"3.6";"266 "
"103059427";"165";"11";"1474514744";"3.6";"266 "
"104006691";"89";"6";"1474714746";"3.6";"1014 "
"103098151";"178";"12";"1474714746";"3.6";"1014 "
"103043235";"179";"12";"1474714746";"3.6";"1014 "
"103043231";"179";"12";"1474714746";"3.6";"1014 "
"104006615";"87";"6";"1474714746";"3.6";"1014 "
"103091464";"151";"10";"1474714746";"3.6";"1014 "
"103091460";"151";"10";"1474714746";"3.6";"1014 "
"103051794";"61";"5";"1474814749";"3.6";"557 "
